0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
934.9987556,928.2225333,906.5872445,884.9519556,874.1343111,863.3166667,798.3733333,632.8810666,600.8689777,680.4533333,741.4933333,785.148,798.3733333,785.148,741.4933333,710.9733333,741.4933333,741.4933333,695.7133333,726.2333333,785.148,798.3733333,838.0493333,863.3166667,934.9987556
884.9519556,874.1343111,824.824,785.148,771.9226666,741.4933333,648.8871111,600.8689777,664.8931555,710.9733333,756.7533333,771.9226666,785.148,811.5986666,798.3733333,811.5986666,785.148,710.9733333,680.4533333,710.9733333,741.4933333,811.5986666,851.2746667,874.1343111,884.9519556
948.0206222,934.9987556,863.3166667,771.9226666,680.4533333,616.8750222,553.6860444,538.6634222,632.8810666,710.9733333,726.2333333,771.9226666,785.148,798.3733333,771.9226666,756.7533333,741.4933333,710.9733333,741.4933333,811.5986666,874.1343111,874.1343111,895.7696,917.4048889,948.0206222
811.5986666,798.3733333,771.9226666,664.8931555,493.5955555,335.5733333,259.7376445,280.0164889,290.1559111,311.8355555,347.4422222,423.736,464.0224,493.5955555,584.8629333,616.8750222,568.8568888,523.6408,493.5955555,553.6860444,553.6860444,538.6634222,538.6634222,508.6181778,811.5986666
824.824,710.9733333,568.8568888,437.1648,280.0164889,135.8176,106.0176,123.5157333,143.0067555,187.4154223,280.0164889,359.3111111,450.5936,538.6634222,648.8871111,726.2333333,785.148,798.3733333,726.2333333,726.2333333,771.9226666,785.148,824.824,838.0493333,824.824
906.5872445,798.3733333,695.7133333,553.6860444,383.4496,187.4154223,129.3484444,117.6830222,135.8176,187.4154223,280.0164889,423.736,600.8689777,664.8931555,756.7533333,824.824,895.7696,917.4048889,895.7696,895.7696,934.9987556,961.0424889,979.4826667,972.8360889,906.5872445
961.0424889,906.5872445,838.0493333,680.4533333,464.0224,221.7334667,100.1848889,75.47266666,84.89995555,135.8176,249.5982222,383.4496,508.6181778,632.8810666,726.2333333,811.5986666,874.1343111,928.2225333,941.5096889,967.5534223,982.8059556,989.4525333,992.7758222,982.8059556,961.0424889
710.9733333,616.8750222,523.6408,410.3072,300.2953333,171.7633778,94.35217778,75.47266666,61.70613333,57.87417777,100.1848889,221.7334667,359.3111111,450.5936,553.6860444,648.8871111,741.4933333,710.9733333,616.8750222,600.8689777,710.9733333,838.0493333,884.9519556,851.2746667,710.9733333
410.3072,347.4422222,259.7376445,187.4154223,143.0067555,94.35217778,50.21026666,61.70613333,66.04537777,75.47266666,111.8503111,164.5742222,259.7376445,335.5733333,396.8784,450.5936,523.6408,493.5955555,437.1648,437.1648,437.1648,478.5729333,508.6181778,493.5955555,410.3072
249.5982222,213.1539556,171.7633778,157.3850667,150.1959111,143.0067555,94.35217778,84.89995555,111.8503111,150.1959111,171.7633778,204.5744445,230.3129778,269.8770667,311.8355555,359.3111111,335.5733333,290.1559111,280.0164889,280.0164889,290.1559111,290.1559111,269.8770667,249.5982222,249.5982222
335.5733333,323.7044444,323.7044444,300.2953333,290.1559111,259.7376445,230.3129778,187.4154223,187.4154223,213.1539556,221.7334667,213.1539556,221.7334667,230.3129778,239.4588,300.2953333,323.7044444,335.5733333,347.4422222,359.3111111,323.7044444,300.2953333,300.2953333,290.1559111,335.5733333
616.8750222,584.8629333,538.6634222,508.6181778,464.0224,423.736,371.18,300.2953333,280.0164889,290.1559111,300.2953333,311.8355555,311.8355555,300.2953333,323.7044444,371.18,423.736,437.1648,423.736,423.736,437.1648,464.0224,478.5729333,493.5955555,616.8750222
